"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","connection_onoff"
"High-throughput PPI","A22_Cefotaxime",2.6667,18.3333,18.5,72.1667,45.3333,"0","A22","Cefotaxime","A22-Cefotaxime","A22","CTX",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.142714926,-0.179266974,-0.245271572,-0.165740597,-0.073620896,-0.133296097,"Additivity","Synergy","Synergy","Synergy","Additivity","Synergy",0,-1,-1,-1,0,-1,-4,"S","S","S","S","R","S","S","S","R","R","S","R","SS","SS","SR","SR","RS","SR",-1,-1,0,0,0,0,-2,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,2,0.00314893046588041,"Additivity-Synergy","connected"
"EN:allnetworks","A22_Cefotaxime",1.8333,62.5,62.5,103.5,83,"1","A22","Cefotaxime","A22-Cefotaxime","A22","CTX",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",-0.142714926,-0.179266974,-0.245271572,-0.165740597,-0.073620896,-0.133296097,"Additivity","Synergy","Synergy","Synergy","Additivity","Synergy",0,-1,-1,-1,0,-1,-4,"S","S","S","S","R","S","S","S","R","R","S","R","SS","SS","SR","SR","RS","SR",-1,-1,0,0,0,0,-2,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,2,0.00314893046588041,"Additivity-Synergy","connected"
"Small/medium-scale PPI","A22_Ciprofloxacin",3.5,3,3,8.5,5.75,"0","A22","Ciprofloxacin","A22-Ciprofloxacin","A22","CIP",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",0,"research used drug","antibiotic","antibiotic-research used drug",-0.12955829,0.064624682,0.127928206,0.066171374,-0.055650542,-0.037127789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,7,0.00367446943760324,"Additivity","connected"
"Similar phylogenetic profiles","A22_Ciprofloxacin",2,8,8,25,16.5,"0","A22","Ciprofloxacin","A22-Ciprofloxacin","A22","CIP",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",0,"research used drug","antibiotic","antibiotic-research used drug",-0.12955829,0.064624682,0.127928206,0.066171374,-0.055650542,-0.037127789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,7,0.00367446943760324,"Additivity","connected"
"Co-functional (EcoCyc/GO-BP)","A22_Ciprofloxacin",2,12,12,20,16,"0","A22","Ciprofloxacin","A22-Ciprofloxacin","A22","CIP",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",0,"research used drug","antibiotic","antibiotic-research used drug",-0.12955829,0.064624682,0.127928206,0.066171374,-0.055650542,-0.037127789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,7,0.00367446943760324,"Additivity","connected"
"Co-functional (GO-BP)","A22_Ciprofloxacin",2,12,12,20,16,"0","A22","Ciprofloxacin","A22-Ciprofloxacin","A22","CIP",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",0,"research used drug","antibiotic","antibiotic-research used drug",-0.12955829,0.064624682,0.127928206,0.066171374,-0.055650542,-0.037127789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,7,0.00367446943760324,"Additivity","connected"
"Similar genomic context","A22_Ciprofloxacin",3,22.5,22.5,25.5,24,"0","A22","Ciprofloxacin","A22-Ciprofloxacin","A22","CIP",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",0,"research used drug","antibiotic","antibiotic-research used drug",-0.12955829,0.064624682,0.127928206,0.066171374,-0.055650542,-0.037127789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,7,0.00367446943760324,"Additivity","connected"
"High-throughput PPI","A22_Ciprofloxacin",1.5,36.5,36.5,71,53.75,"1","A22","Ciprofloxacin","A22-Ciprofloxacin","A22","CIP",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",0,"research used drug","antibiotic","antibiotic-research used drug",-0.12955829,0.064624682,0.127928206,0.066171374,-0.055650542,-0.037127789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,7,0.00367446943760324,"Additivity","connected"
"Co-expression","A22_Ciprofloxacin",1,40,40,55,47.5,"1","A22","Ciprofloxacin","A22-Ciprofloxacin","A22","CIP",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",0,"research used drug","antibiotic","antibiotic-research used drug",-0.12955829,0.064624682,0.127928206,0.066171374,-0.055650542,-0.037127789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,7,0.00367446943760324,"Additivity","connected"
"EN:allnetworks","A22_Ciprofloxacin",1,58,58,99,78.5,"1","A22","Ciprofloxacin","A22-Ciprofloxacin","A22","CIP",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",0,"research used drug","antibiotic","antibiotic-research used drug",-0.12955829,0.064624682,0.127928206,0.066171374,-0.055650542,-0.037127789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","S","S","S","S","SS","SS","SS","SS","RS","SS",-1,-1,-1,-1,0,-1,-5,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,7,0.00367446943760324,"Additivity","connected"
"Small/medium-scale PPI","A22_Clindamycin",2,2,2,5,3.5,"0","A22","Clindamycin","A22-Clindamycin","A22","CLI",0,"other cell wall","other protein synthesis inhibitor","other cell wall-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",-0.113529022,-0.070666997,0.045759274,-0.061557467,0.036672493,-0.042277618,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","R","R","S","S","R","R","SR","SR","SS","SS","RR","SR",0,0,-1,-1,1,0,-1,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,4,0.00315435733476808,"Additivity","connected"
"Similar genomic context","A22_Clindamycin",3,12,12,24,18,"0","A22","Clindamycin","A22-Clindamycin","A22","CLI",0,"other cell wall","other protein synthesis inhibitor","other cell wall-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",-0.113529022,-0.070666997,0.045759274,-0.061557467,0.036672493,-0.042277618,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","R","R","S","S","R","R","SR","SR","SS","SS","RR","SR",0,0,-1,-1,1,0,-1,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,4,0.00315435733476808,"Additivity","connected"
"Similar phylogenetic profiles","A22_Clindamycin",3,18,18,25,21.5,"0","A22","Clindamycin","A22-Clindamycin","A22","CLI",0,"other cell wall","other protein synthesis inhibitor","other cell wall-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",-0.113529022,-0.070666997,0.045759274,-0.061557467,0.036672493,-0.042277618,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","R","R","S","S","R","R","SR","SR","SS","SS","RR","SR",0,0,-1,-1,1,0,-1,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,4,0.00315435733476808,"Additivity","connected"
"Co-expression","A22_Clindamycin",2,40,40,135,87.5,"0","A22","Clindamycin","A22-Clindamycin","A22","CLI",0,"other cell wall","other protein synthesis inhibitor","other cell wall-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",-0.113529022,-0.070666997,0.045759274,-0.061557467,0.036672493,-0.042277618,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","R","R","S","S","R","R","SR","SR","SS","SS","RR","SR",0,0,-1,-1,1,0,-1,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,4,0.00315435733476808,"Additivity","connected"
"High-throughput PPI","A22_Clindamycin",2,71,71,81,76,"0","A22","Clindamycin","A22-Clindamycin","A22","CLI",0,"other cell wall","other protein synthesis inhibitor","other cell wall-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",-0.113529022,-0.070666997,0.045759274,-0.061557467,0.036672493,-0.042277618,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","R","R","S","S","R","R","SR","SR","SS","SS","RR","SR",0,0,-1,-1,1,0,-1,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,4,0.00315435733476808,"Additivity","connected"
"EN:allnetworks","A22_Clindamycin",2,99,99,148,123.5,"0","A22","Clindamycin","A22-Clindamycin","A22","CLI",0,"other cell wall","other protein synthesis inhibitor","other cell wall-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",-0.113529022,-0.070666997,0.045759274,-0.061557467,0.036672493,-0.042277618,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","R","R","S","S","R","R","SR","SR","SS","SS","RR","SR",0,0,-1,-1,1,0,-1,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,4,0.00315435733476808,"Additivity","connected"
"Small/medium-scale PPI","A22_Doxycycline",2,1.5,2,5,3.5,"0","A22","Doxycycline","A22-Doxycycline","A22","DOX",0,"other cell wall","tetracycline","other cell wall-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.145314474,-0.046015076,0.092081999,0.054741609,-0.031449653,0.136296957,"Antagonism","Additivity","Additivity","Additivity","Additivity","Antagonism",1,0,0,0,0,1,2,"S","S","S","S","R","S","S","S","S","S","R","S","SS","SS","SS","SS","RR","SS",-1,-1,-1,-1,1,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,6,0.00328001976602635,"Additivity-Antagonism","connected"
"Co-functional (GO-BP)","A22_Doxycycline",4,9,12,13,12.5,"0","A22","Doxycycline","A22-Doxycycline","A22","DOX",0,"other cell wall","tetracycline","other cell wall-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.145314474,-0.046015076,0.092081999,0.054741609,-0.031449653,0.136296957,"Antagonism","Additivity","Additivity","Additivity","Additivity","Antagonism",1,0,0,0,0,1,2,"S","S","S","S","R","S","S","S","S","S","R","S","SS","SS","SS","SS","RR","SS",-1,-1,-1,-1,1,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,6,0.00328001976602635,"Additivity-Antagonism","connected"
"Co-functional (EcoCyc/GO-BP)","A22_Doxycycline",4,12,12,13,12.5,"0","A22","Doxycycline","A22-Doxycycline","A22","DOX",0,"other cell wall","tetracycline","other cell wall-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.145314474,-0.046015076,0.092081999,0.054741609,-0.031449653,0.136296957,"Antagonism","Additivity","Additivity","Additivity","Additivity","Antagonism",1,0,0,0,0,1,2,"S","S","S","S","R","S","S","S","S","S","R","S","SS","SS","SS","SS","RR","SS",-1,-1,-1,-1,1,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,6,0.00328001976602635,"Additivity-Antagonism","connected"
"Similar genomic context","A22_Doxycycline",2.5,23,23,25.5,24.25,"0","A22","Doxycycline","A22-Doxycycline","A22","DOX",0,"other cell wall","tetracycline","other cell wall-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.145314474,-0.046015076,0.092081999,0.054741609,-0.031449653,0.136296957,"Antagonism","Additivity","Additivity","Additivity","Additivity","Antagonism",1,0,0,0,0,1,2,"S","S","S","S","R","S","S","S","S","S","R","S","SS","SS","SS","SS","RR","SS",-1,-1,-1,-1,1,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,6,0.00328001976602635,"Additivity-Antagonism","connected"
"Co-expression","A22_Doxycycline",1,40,40,151.5,95.75,"1","A22","Doxycycline","A22-Doxycycline","A22","DOX",0,"other cell wall","tetracycline","other cell wall-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.145314474,-0.046015076,0.092081999,0.054741609,-0.031449653,0.136296957,"Antagonism","Additivity","Additivity","Additivity","Additivity","Antagonism",1,0,0,0,0,1,2,"S","S","S","S","R","S","S","S","S","S","R","S","SS","SS","SS","SS","RR","SS",-1,-1,-1,-1,1,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,6,0.00328001976602635,"Additivity-Antagonism","connected"
"High-throughput PPI","A22_Doxycycline",2,71,71,140,105.5,"0","A22","Doxycycline","A22-Doxycycline","A22","DOX",0,"other cell wall","tetracycline","other cell wall-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.145314474,-0.046015076,0.092081999,0.054741609,-0.031449653,0.136296957,"Antagonism","Additivity","Additivity","Additivity","Additivity","Antagonism",1,0,0,0,0,1,2,"S","S","S","S","R","S","S","S","S","S","R","S","SS","SS","SS","SS","RR","SS",-1,-1,-1,-1,1,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,6,0.00328001976602635,"Additivity-Antagonism","connected"
"EN:allnetworks","A22_Doxycycline",2,99,99,269.5,184.25,"0","A22","Doxycycline","A22-Doxycycline","A22","DOX",0,"other cell wall","tetracycline","other cell wall-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.145314474,-0.046015076,0.092081999,0.054741609,-0.031449653,0.136296957,"Antagonism","Additivity","Additivity","Additivity","Additivity","Antagonism",1,0,0,0,0,1,2,"S","S","S","S","R","S","S","S","S","S","R","S","SS","SS","SS","SS","RR","SS",-1,-1,-1,-1,1,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,6,0.00328001976602635,"Additivity-Antagonism","connected"
"High-throughput PPI","A22_Fosfomycin",2,11,11,71,41,"0","A22","Fosfomycin","A22-Fosfomycin","A22","FOF",1,"other cell wall","other cell wall","other cell wall-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",0.138097314,0.180647729,0.060819247,-0.08367303,0.04973499,-0.591744658,"Additivity","Antagonism","Additivity","Additivity","Additivity","Synergy",0,1,0,0,0,-1,0,"S","S","S","S","R","S","S","S","S","R","S","S","SS","SS","SS","SR","RS","SS",-1,-1,-1,0,0,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,0.00886746948477885,"Additivity-Antagonism-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","A22_Fosfomycin",2,12,12,27,19.5,"0","A22","Fosfomycin","A22-Fosfomycin","A22","FOF",1,"other cell wall","other cell wall","other cell wall-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",0.138097314,0.180647729,0.060819247,-0.08367303,0.04973499,-0.591744658,"Additivity","Antagonism","Additivity","Additivity","Additivity","Synergy",0,1,0,0,0,-1,0,"S","S","S","S","R","S","S","S","S","R","S","S","SS","SS","SS","SR","RS","SS",-1,-1,-1,0,0,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,0.00886746948477885,"Additivity-Antagonism-Synergy","connected"
"Co-functional (GO-BP)","A22_Fosfomycin",2,12,12,19,15.5,"0","A22","Fosfomycin","A22-Fosfomycin","A22","FOF",1,"other cell wall","other cell wall","other cell wall-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",0.138097314,0.180647729,0.060819247,-0.08367303,0.04973499,-0.591744658,"Additivity","Antagonism","Additivity","Additivity","Additivity","Synergy",0,1,0,0,0,-1,0,"S","S","S","S","R","S","S","S","S","R","S","S","SS","SS","SS","SR","RS","SS",-1,-1,-1,0,0,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,0.00886746948477885,"Additivity-Antagonism-Synergy","connected"
"Similar genomic context","A22_Fosfomycin",2,24,24,46,35,"0","A22","Fosfomycin","A22-Fosfomycin","A22","FOF",1,"other cell wall","other cell wall","other cell wall-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",0.138097314,0.180647729,0.060819247,-0.08367303,0.04973499,-0.591744658,"Additivity","Antagonism","Additivity","Additivity","Additivity","Synergy",0,1,0,0,0,-1,0,"S","S","S","S","R","S","S","S","S","R","S","S","SS","SS","SS","SR","RS","SS",-1,-1,-1,0,0,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,0.00886746948477885,"Additivity-Antagonism-Synergy","connected"
"Co-expression","A22_Fosfomycin",1,40,40,44,42,"1","A22","Fosfomycin","A22-Fosfomycin","A22","FOF",1,"other cell wall","other cell wall","other cell wall-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",0.138097314,0.180647729,0.060819247,-0.08367303,0.04973499,-0.591744658,"Additivity","Antagonism","Additivity","Additivity","Additivity","Synergy",0,1,0,0,0,-1,0,"S","S","S","S","R","S","S","S","S","R","S","S","SS","SS","SS","SR","RS","SS",-1,-1,-1,0,0,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,0.00886746948477885,"Additivity-Antagonism-Synergy","connected"
"EN:allnetworks","A22_Fosfomycin",2,67,67,99,83,"0","A22","Fosfomycin","A22-Fosfomycin","A22","FOF",1,"other cell wall","other cell wall","other cell wall-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",0,"research used drug","antibiotic","antibiotic-research used drug",0.138097314,0.180647729,0.060819247,-0.08367303,0.04973499,-0.591744658,"Additivity","Antagonism","Additivity","Additivity","Additivity","Synergy",0,1,0,0,0,-1,0,"S","S","S","S","R","S","S","S","S","R","S","S","SS","SS","SS","SR","RS","SS",-1,-1,-1,0,0,-1,-4,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,0.00886746948477885,"Additivity-Antagonism-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","A22_Fusidic acid",5,1,1,12,6.5,"0","A22","Fusidic acid","A22-Fusidic acid","A22","FUS",0,"other cell wall","other protein synthesis inhibitor","other cell wall-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.099261731,-0.150875992,-0.04907706,-0.061795543,-0.025725863,-0.073104875,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","R","R","R","R","SS","SS","SR","SR","RR","SR",-1,-1,0,0,1,0,-1,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,2,0.00314893046588041,"Additivity","connected"
"Co-functional (GO-BP)","A22_Fusidic acid",5,1,1,12,6.5,"0","A22","Fusidic acid","A22-Fusidic acid","A22","FUS",0,"other cell wall","other protein synthesis inhibitor","other cell wall-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.099261731,-0.150875992,-0.04907706,-0.061795543,-0.025725863,-0.073104875,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","R","R","R","R","SS","SS","SR","SR","RR","SR",-1,-1,0,0,1,0,-1,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,2,0.00314893046588041,"Additivity","connected"
"Co-expression","A22_Fusidic acid",4,4,4,40,22,"0","A22","Fusidic acid","A22-Fusidic acid","A22","FUS",0,"other cell wall","other protein synthesis inhibitor","other cell wall-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",0,"research used drug","antibiotic","antibiotic-research used drug",0.099261731,-0.150875992,-0.04907706,-0.061795543,-0.025725863,-0.073104875,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","S","S","S","R","R","R","R","SS","SS","SR","SR","RR","SR",-1,-1,0,0,1,0,-1,1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,2,0.00314893046588041,"Additivity","connected"
