"compound","cid"
"P1,P4-Di(adenosine-5')tetraphosphate triammonium",11957521
"PACHYRRHIZIN",101277
"Paclitaxel",36314
"PACLITAXEL",36314
"PAEONOL",11092
"PALMATINE",19009
"Palmatine chloride",73442
"PALMATINE CHLORIDE",73442
"Palmatine Cl",NA
"Palmitoyl-DL-Carnitine chloride",363417
"Palmitoylethanolamide",4671
"p-Aminoclonidine hydrochloride",51763
"Panaxadiol",73498
"Panaxatriol",73599
"Pancuronium bromide",27350
"PANCURONIUM BROMIDE",27350
"PANGAMIC ACID SODIUM",45934202
"PANTETHINE",452306
"PANTHENOL",4678
"Panthenol (D)",131204
"PANTOPRAZOLE",4679
"Pantothenic acid calcium salt monohydrate",6420025
"PANTOTHENIC ACID(d) Na salt",167945
"Papaverine HCl",6084
"Papaverine hydrochloride",6084
"PAPAVERINE HYDROCHLORIDE",6084
"PAPP",121930
"PARACHLOROPHENOL",4684
"PARAROSANILINE PAMOATE",NA
"Parbendazole",26596
"Pargyline hydrochloride",9373
"PARGYLINE HYDROCHLORIDE",9373
"Paromomycin sulfate",441375
"PAROMOMYCIN SULFATE",441375
"Paroxetine Hydrochloride",62878
"PAROXETINE HYDROCHLORIDE",62878
"Paroxetine hydrochloride hemihydrate (MW = 374.83)",62878
"Parthenolide",7251185
"PARTHENOLIDE",7251185
"Patulin",4696
"PATULIN",4696
"p-Benzoquinone",4650
"p-CHLOROPHENYLALANINE",4652
"PD 168,077 maleate",11957665
"PD 169316",4712
"PD 404,182",6603967
"PD 98,059",4713
"PECTOLINARIN",168849
"PEFLOXACINE MESYLATE",119525
"Peganine",72610
"Peganole",3756584
"PELLETIERINE HYDROCHLORIDE",16667749
"Pellitorine",5318516
"Pempidine tartrate",120729
"Penbutolol sulfate",38010
"PENFLURIDOL",33630
"PENICILLAMINE",5852
"Penicillamine, L-",NA
"PENICILLIN G POTASSIUM",23664709
"PENICILLIN V POTASSIUM",23676814
"PENTACHLOROPHENOL",992
"Pentamidine isethionate",8813
"Pentetic acid",3053
"PENTOBARBITAL",4737
"Pentolinium bitartrate",5702277
"Pentolinium di[L(+)-tartrate]",5849
"Pentoxifylline",4740
"PENTOXIFYLLINE",4740
"PENTYLENETETRAZOL",5917
"Pentylenetetrazole",5917
"PEONIFLORIN",442534
"PEONOL METHYL ETHER",70016
"Pepstatin A",5478883
"Pergolide mesylate",47812
"PERGOLIDE MESYLATE",47812
"Pergolide methanesulfonate",47812
"Perhexiline maleate",5284439
"PERHEXILINE MALEATE",5284439
"PERICIAZINE",4747
"Perillic acid",1256
"PERILLIC ACID (-)",5702197
"PERILLYL ALCOHOL",10819
"Perindopril",107807
"PERINDOPRIL ERBUMINE",441313
"Perphenazine",4748
"PERPHENAZINE",4748
"Peruvoside",12314120
"PERUVOSIDE",12314120
"p-Fluoro-L-phenylalanine",716312
"p-FLUOROPHENYLALANINE",4654
"Phaclofen",1641
"PHENACEMIDE",4753
"Phenacetin",4754
"PHENACETIN",4754
"PHENACYLAMINE HYDROCHLORIDE",2723597
"Phenamil methanesulfonate",135419184
"Phenazopyridine hydrochloride",8691
"PHENAZOPYRIDINE HYDROCHLORIDE",8691
"Phenelzine sulfate",61100
"PHENELZINE SULFATE",61100
"PHENETHICILLIN POTASSIUM",23675317
"Phenethicillin potassium salt",23675317
"PHENETHYL CAFFEATE (CAPE)",5281787
"Phenformin hydrochloride",13266
"PHENFORMIN HYDROCHLORIDE",13266
"Phenindione",4760
"PHENINDIONE",4760
"Pheniramine maleate",5282139
"PHENIRAMINE MALEATE",5282139
"PHENOLPHTHALEIN",4764
"PHENOTHRIN",4767
"Phenoxybenzamine hydrochloride",5284441
"PHENOXYBENZAMINE HYDROCHLORIDE",5284441
"Phensuximide",6839
"PHENTERMINE",4771
"Phentolamine hydrochloride",5702144
"PHENTOLAMINE HYDROCHLORIDE",5702144
"Phentolamine mesylate",91430
"Phenylbenzene-omega-phosphono-alpha-amino acid",4779
"Phenylbutazone",4781
"PHENYLBUTAZONE",4781
"PHENYLBUTYRATE SODIUM",23665409
"PHENYLBUTYRIC ACID",4775
"Phenylephrine hydrochloride",5284443
"PHENYLEPHRINE HYDROCHLORIDE",5284443
"PHENYLETHYL ALCOHOL",6054
"PHENYLMERCURIC ACETATE",16682730
"Phenylpropanolamine hydrochloride",6433169
"Phenytoin sodium",657302
"PHENYTOIN SODIUM",657302
"PHLORACETOPHENONE",68073
"Phloretin",4788
"PHLORETIN",4788
"PHLORIDZIN",6072
"Phlorizine",4789
"Phorbol",442070
"Phorbol 12,13-dibutyrate",37783
"Phorbol 12-myristate 13-acetate",27924
"Phorbol 12-myristate 13-acetate, 4-a -",NA
"PHOSALONE",4793
"Phosphomycin disodium",6093162
"Phosphonoacetic acid",546
"Phosphoramidon disodium",16219931
"PHTHALYLSULFACETAMIDE",8574
"Phthalylsulfathiazole",4806
"PHTHALYLSULFATHIAZOLE",4806
"PHTHALYSULFATHIAZOLE",45006161
"PHYSCION",10639
"Physostigmine",5983
"PHYSOSTIGMINE SALICYLATE",657348
"PHYTOL",5280435
"Phytosphingosine",122121
"Piceatannol",667639
"Picotamide",4814
"Picotamide monohydrate",6419975
"PICROPODOPHYLLOTOXIN",72435
"PICROPODOPHYLLOTOXIN ACETATE",233299
"Picrotin",442291
"PICROTIN",442291
"Picrotoxin",31304
"Picrotoxinin",442292
"PICROTOXININ",442292
"Pifithrin-mu",327653
"Pilocarpine HCl",5909
"Pilocarpine nitrate",657349
"PILOCARPINE NITRATE",657349
"Pimaricin",5284447
"Pimethixene maleate",5702167
"PIMETHIXENE MALEATE",5702167
"Pimozide",16362
"PIMOZIDE",16362
"PIMPINELLIN",4825
"Pinacidil",4826
"Pindolol",4828
"PINDOLOL",4828
"Pinocembrin",68071
"p-Iodoclonidine hydrochloride",11957583
"PIOGLITAZONE HYDROCHLORIDE",60560
"PIPAMPERONE",4830
"Pipemidic acid",4831
"PIPEMIDIC ACID",4831
"Pipenzolate bromide",657306
"PIPENZOLATE BROMIDE",657306
"Piperacetazine",19675
"PIPERACILLIN SODIUM",23666879
"Piperacillin sodium salt",23666879
"PIPERAZINE",4837
"PIPERIC ACID",5370536
"Piperidolate hydrochloride",8520
"PIPERIDOLATE HYDROCHLORIDE",8520
"Piperine",638024
"PIPERINE",638024
"Piperlongumine",637858
"PIPLARTINE",637858
"PIPOBROMAN",4842
"Piracetam",4843
"PIRACETAM",4843
"Pirenperone",4847
"PIRENPERONE",4847
"Pirenzepine dihydrochloride",71405
"PIRENZEPINE HYDROCHLORIDE",71405
"Piretanide",4849
"Pirfenidone",40632
"Piribedil hydrochloride",3038520
"Piribedil maleate",11957664
"Pirlindole mesylate",2829432
"Piromidic acid",4855
"PIROMIDIC ACID",4855
"Piroxicam",54676228
"PIROXICAM",54676228
"PISCIDIC ACID",120693
"Pivampicillin",33478
"Pivmecillinam hydrochloride",115162
"Pizotifen malate",168993
"PIZOTYLINE MALATE",168993
"PK 11195",1345
"Plumbagin",10205
"PLUMBAGIN",10205
"PM-20",11200445
"p-MPPF dihydrochloride",11957633
"p-MPPI hydrochloride",11957651
"PNU-282987",11243536
"PNU-37883A",64392
"Podocarpic acid",93017
"PODOFILOX",10607
"Podophyllotoxin",10607
"PODOPHYLLOTOXIN ACETATE",164791
"Podophylotoxin",10607
"PODOTOTARIN",5320650
"POLYMYXIN B SULFATE",5702105
"POTASSIUM p-AMINOBENZOATE",23663628
"PPADS",4881
"PPNDS tetrasodium",5311367
"PQ401",9549305
"Practolol",4883
"PRACTOLOL",4883
"Pralidoxime chloride",135445761
"PRALIDOXIME CHLORIDE",135445761
"PRALIDOXIME MESYLATE",135476791
"Pramoxine hydrochloride",73957
"PRAMOXINE HYDROCHLORIDE",73957
"Pratol",5320693
"PRAVASTATIN SODIUM",16759173
"Praziquantel",4891
"PRAZIQUANTEL",4891
"Prazosin hydrochloride",68546
"PRAZOSIN HYDROCHLORIDE",68546
"PRE-084",126402
"Prednicarbate",6714002
"Prednisolone",5755
"PREDNISOLONE",5755
"PREDNISOLONE ACETATE",5834
"PREDNISOLONE HEMISUCCINATE",656804
"PREDNISOLONE SODIUM PHOSPHATE",441409
"Prednisone",5865
"PREDNISONE",5865
"PREGABALIN",5486971
"Pregnenolone",8955
"PREGNENOLONE",8955
"PREGNENOLONE SUCCINATE",10070529
"Pregnenolone sulfate sodium",23682212
"PREGNENOLONE SULFATE, SODIUM SALT",23689388
"Prenylamine lactate",65557
"PRENYLETIN",3873459
"PRIDINOL METHANESULFONATE",165542
"Pridinol methanesulfonate salt",165542
"Prilocaine hydrochloride",92163
"PRILOCAINE HYDROCHLORIDE",92163
"Primaquine diphosphate",6135
"PRIMAQUINE DIPHOSPHATE",6135
"Primidone",4909
"PRIMIDONE",4909
"PRIMULETIN",68112
"PRL-3 Inhibitor I",73707371
"Proadifen hydrochloride",65341
"PROADIFEN HYDROCHLORIDE",65341
"Probenecid",4911
"PROBENECID",4911
"Probucol",4912
"PROBUCOL",4912
"Procainamide hydrochloride",66068
"PROCAINAMIDE HYDROCHLORIDE",66068
"Procaine hydrochloride",5795
"PROCAINE HYDROCHLORIDE",5795
"Procarbazine hydrochloride",9703
"Prochlorperazine dimaleate",5281032
"PROCHLORPERAZINE EDISYLATE",91499
"Procyclidine hydrochloride",207841
"PROCYCLIDINE HYDROCHLORIDE",207841
"Progesterone",5994
"PROGESTERONE",5994
"Proglumide",4922
"PROGLUMIDE",4922
"Proguanil hydrochloride",9570076
"Promazine hydrochloride",5887
"PROMAZINE HYDROCHLORIDE",5887
"Promethazine hydrochloride",6014
"PROMETHAZINE HYDROCHLORIDE",6014
"PROMETON",4928
"PROMETRYN",4929
"PRONETALOL HYDROCHLORIDE",60975
"Pronethalol hydrochloride",60975
"Propafenone hydrochloride",36708
"PROPAFENONE HYDROCHLORIDE",36708
"Propantheline bromide",9279
"PROPANTHELINE BROMIDE",9279
"Proparacaine hydrochloride",517321
"PROPARACAINE HYDROCHLORIDE",517321
"PROPAZINE",4937
"Propentofylline",4938
"Propidium iodide",104981
"Propionylpromazine hydrochloride",24351
"Propofol",4943
"PROPOFOL",4943
"PROPOXUR",4944
"Propoxycaine hydrochloride",11078
"Propranolol hydrochloride",62882
"PROPRANOLOL HYDROCHLORIDE (+/-)",NA
"Propylthiouracil",657298
"PROPYLTHIOURACIL",657298
"Proscillaridin A",5284613
"Prostaglandin A1",5281912
"Prostaglandin B1",5280388
"Prostaglandin E1",5280723
"Prostaglandin E2",5280360
"Prostaglandin F2a",5280363
"Prostaglandin J2",5280884
"PROTIONAMIDE",666418
"Protopine HCl",22543
"PROTOPORPHYRIN IX",4971
"Protoporphyrin IX disodium",4971
"Protoveratrine A",8931
"PROTOVERATRINE A",8931
"Protoveratrine B",222158
"Protriptyline hydrochloride",6603149
"PROTRYPTYLINE HYDROCHLORIDE",4976
"Proxyphylline",4977
"PROXYPHYLLINE",4977
"PSEUDO-ANISATIN",6708809
"PSEUDOEPHEDRINE HYDROCHLORIDE",9581
"Pseudopelletierin HCl",2724428
"Pseudopelletierine hydrochloride",6419951
"Psora-4",6603977
"PTAEROXYLIN",3646533
"PTERYXIN",5281425
"PUERARIN",5281807
"Puromycin",439530
"Puromycin dihydrochloride",443311
"PUROMYCIN HYDROCHLORIDE",443311
"PURPURIN",6683
"PURPUROGALLIN-4-CARBOXYLIC ACID",269315
"Putrescine dihydrochloride",9532
"PUTRESCINE DIHYDROCHLORIDE",9532
"PYRANTEL PAMOATE",5281033
"Pyrantel tartrate",6434144
"Pyrazinamide",1046
"PYRAZINAMIDE",1046
"Pyrazinecarboxamide",1046
"Pyridostigmine bromide",7550
"PYRIDOSTIGMINE BROMIDE",7550
"PYRIDOXINE",1054
"Pyridoxine hydrochloride",6019
"Pyrilamine maleate",5284451
"PYRILAMINE MALEATE",5284451
"Pyrimethamine",4993
"PYRIMETHAMINE",4993
"PYRITHIONE ZINC",3005837
"Pyrithyldione",4994
"PYRITHYLDIONE",4994
"PYRITINOL",14190
"Pyrocatechol",289
"PYROCATECHUIC ACID",19
"PYRROMYCIN",196990
"Pyrvinium pamoate",54680693
"PYRVINIUM PAMOATE",54680693
"Quassin",65571
"QUASSIN",65571
"Quazinone",135418296
"QUEBRACHITOL",151108
"QUERCETIN",5280343
"Quercetin",5280343
"Quercetin dihydrate",5284452
"QUERCETIN PENTAMETHYL ETHER",97332
"QUERCETIN TETRAMETHYL (5,7,3',4') ETHER",97142
"Quercetine dihydrate",5284452
"Quercitrin",5280459
"QUERCITRIN",5280459
"QUETIAPINE",5002
"Quinacrine dihydrochloride",6239
"Quinacrine dihydrochloride dihydrate",2725002
"QUINACRINE HYDROCHLORIDE",6239
"QUINAMIDE ISOPROPYLIDENE",6708787
"Quinapril HCl",54891
"QUINAPRIL HYDROCHLORIDE",54891
"Quinelorane dihydrochloride",68728
"Quinethazone",6307
"Quinic acid",6508
"QUINIC ACID",6508
"QUINIDINE GLUCONATE",94328
"Quinidine HCl",11639099
"Quinidine hydrochloride monohydrate",16219921
"Quinidine sulfate",441326
"QUININE ETHYL CARBONATE",6975516
"Quinine HCl",91558
"Quinine sulfate",16051948
"QUININE SULFATE",16051948
"Quinolinic acid",1066
"QUINOLINIC ACID",1066
"Quipazine dimaleate",6420043
"Quipazine dimaleate salt",6420043
"QUIPAZINE MALEATE",5702242
"Quipazine, 6-nitro-, maleate",11957672
"Quipazine, N-methyl-, dimaleate",NA
"Quisqualic acid",40539
"R(-) Apomorphine hydrochloride hemihydrate",6852399
"R(-)-2,10,11-Trihydroxyaporphine hybrobromide",11957531
"R(-)-2,10,11-Trihydroxy-N-propylnoraporphine hydrobromide",10069059
"R(-)-Apocodeine hydrochloride",11957528
"R(-)-Denopamine",5311064
"R-(-)-Desmethyldeprenyl hydrochloride",9855833
"R-(-)-Fluoxetine hydrochloride",9798284
"R(-)-Isoproterenol (+)-bitartrate",11957571
"R(-)-Me5",11957611
"R(-)-N6-(2-Phenylisopropyl)adenosine",11957661
"R(-)-N-Allylnorapomorphine hydrobromide",11957524
"R(-)-Propylnorapomorphine hydrochloride",11957529
"R(-)-SCH-12679 maleate",91277
"R(+)-3PPP hydrochloride",202477
"R(+)-6-Bromo-APB hydrobromide",11957483
"R-(+)-7-Hydroxy-DPAT hydrobromide",11957554
"R-(+)-8-Hydroxy-DPAT hydrobromide",11957570
"R(+)-Butylindazone",10386195
"R(+)-IAA-94",656717
"R(+)-SCH-23390 hydrochloride",11957535
"R(+)-Terguride",11957722
"R(+)-UH-301 hydrochloride",11957726
"RABEPRAZOLE SODIUM",14720269
"rac-2-Ethoxy-3-hexadecanamido-1-propylphosphocholine",361655
"rac-2-Ethoxy-3-octadecanamido-1-propylphosphocholine",72241
"Racecadotril",107751
"RACEPHEDRINE HYDROCHLORIDE",8648
"Radicicol",6323491
"Raloxifene hydrochloride",54900
"RALOXIFENE HYDROCHLORIDE",54900
"RAMELTEON",208902
"RAMIFENAZONE",5037
"Ramipril",5362129
"RAMIPRIL",5362129
"RANITIDINE",3001055
"Ranitidine hydrochloride",3033332
"Ranolazine",56959
"RANOLAZINE",56959
"Ranolazine dihydrochloride",71279
"Rapamycin",5284616
"Rauwolscine",643606
"Rauwolscine hydrochloride",197067
"RBI 257 maleate salt",57347718
"Reactive Blue 2",656725
"REBAMIPIDE",5042
"Remerine HCl",45261561
"Remoxipride Hydrochloride",15565709
"Repaglinide",65981
"Rescinnamin",5280954
"Reserpine",5770
"RESERPINE",5770
"Reserpinic acid hydrochloride",17751039
"RESORCINOL",5054
"RESORCINOL MONOACETATE",5055
"Resveratrol",445154
"RESVERATROL",445154
"RESVERATROL 4'-METHYL ETHER",6255462
"Retinoic acid",444795
"Retinoic acid (all trans)",NA
"Retinoic acid p-hydroxyanilide",5288209
"Retinoic acid, 13-cis-",5282379
"Retinoic acid, 9-cis-",449171
"RETINOL",445354
"RETINYL ACETATE",638034
"RETINYL PALMITATE",5280531
"Retrorsine",5281743
"RETUSIN 7-METHYL ETHER",6710639
"REV 5901",5059
"Rhamnetine",NA
"Rhapontin",637213
"RHETSININE",99652
"RHIZOCARPIC ACID",54733074
"RHODINYL ACETATE",8833
"RHODOCLADONIC ACID",135403806
"Rhoifolin",5282150
"RHOIFOLIN",5282150
"Ribavirin",37542
"RIBAVIRIN",37542
"RIBOFLAVIN",493570
"RIBOFLAVIN 5-PHOSPHATE SODIUM",23666409
"Riboflavine",493570
"RIBOSTAMYCIN SULFATE",656837
"Ribostamycin sulfate salt",6419922
"Ricinine",10666
"Rifabutin",135398743
"Rifampicin",135398735
"RIFAMPIN",135398735
"Rifamycin SV-NA",NA
"RIFAXIMIN",6436173
"Rilmenidine hemifumarate",NA
"Riluzole",5070
"RILUZOLE",5070
"Riluzole hydrochloride",6419992
"RIMANTADINE HYDROCHLORIDE",15165
"Rimexolone",5311412
"RISEDRONATE SODIUM HYDRATE",23709605
"Risperidone",5073
"Ritanserin",5074
"RITANSERIN",5074
"Ritodrine hydrochloride",31728
"RITODRINE HYDROCHLORIDE",31728
"RIZATRIPTAN BENZOATE",77997
"Ro 04-6790 dihydrochloride",11957681
"Ro 20-1724",5087
"Ro 25-6981 hydrochloride",11957690
"Ro 41-0960",3495594
"Ro 41-1049 hydrochloride",5311308
"Ro 8-4304",9799515
"Ro 90-7501",824226
"Robinetine",NA
"ROBUSTIC ACID",54677407
"ROCCELLIC ACID",11449446
"ROFECOXIB",5090
"Rolipram",5092
"Rolitetracycline",54682938
"ROLITETRACYCLINE",54682938
"Ronidazole",5094
"RONIDAZOLE",5094
"RONNEL",9298
"ROPINIROLE",5095
"Ropinirole hydrochloride",68727
"Roscovitine",160355
"ROSIGLITAZONE",77999
"Rosmarinic acid",5281792
"ROSMARINIC ACID",5281792
"ROSOLIC ACID",5100
"ROSUVASTATIN CALCIUM",5282455
"Rotenone",6758
"ROTENONIC ACID, METHYL ETHER",6708557
"Rottlerin",5281847
"Roxarsone",5104
"ROXARSONE",5104
"Roxatidine Acetate HCl",56704
"Roxithromycin",6915744
"ROXITHROMYCIN",6915744
"Rubescensin A",5321010
"RUBESCENSIN A",5321010
"Rufinamide",129228
"Rutaecarpine",65752
"Ruthenium red",NA
"RUTILANTINONE",159908
"Rutin",5280805
"RUTOSIDE  (rutin)",6728944
"RX 821002 hydrochloride",11957683
"Ryanodine",11317883
"S(-)-3PPP hydrochloride",11957669
"S(-)-Atenolol",175540
"S-(-)-Carbidopa",34359
"S(-)Eticlopride hydrochloride",44134711
"S-(-)-Eticlopride hydrochloride",11973707
"S(-)-p-Bromotetramisole oxalate",2724023
"S(-)-Pindolol",688095
"S(-)-Timolol maleate",5384192
"S(-)-UH-301 hydrochloride",10236521
"S(-)-Willardiine",440053
"S-(+)-Fluoxetine hydrochloride",9884593
"S(+)-Ibuprofen",39912
"S-(+)-ibuprofen",39912
"S(+)-Isoproterenol (+)-bitartrate",6852409
"S-(+)-PD 123177 trifluoroacetate salt hydrate",51371122
"S(+)-PD 128,907 hydrochloride",11957668
"S(+)-Raclopride L-tartrate",11663304
"S-(1,2-DICARBOXYETHYL)GLUTATHIONE",9802383
"S-(4-Nitrobenzyl)-6-thioguanosine",11957440
"S-(4-Nitrobenzyl)-6-thioinosine",65407
"S-(p-Azidophenacyl)glutathione",443120
"S15535",132787
"SACCHARIN",5143
"SAFROLE",5144
"SAFROLGLYCOL",97807
"Salbutamol",2083
"SALICIN",439503
"SALICYL ALCOHOL",5146
"SALICYLAMIDE",5147
"SALIDROSIDE",159278
"Salinomycin",3085092
"SALINOMYCIN, SODIUM",23682228
"Salmeterol",5152
"Salmeterol xinafoate",56801
"SALSALATE",5161
"Salsolidine",10302
"SALSOLIDINE",10302
"Salsoline",46695
"SALSOLINE",46695
"Salsolinol HBr",NA
"Salsolinol hydrobromide",6419979
"SALVINORIN A",128563
"Sandoz 58-035",122215
"Sanguinarine",5154
"Sanguinarine chloride",68635
"SANGUINARINE SULFATE",13394149
"SANT-1",6878030
"Santonin",221071
"SANTONIN",221071
"Saponarin",441381
"SAPPANONE A DIMETHYL ETHER",5946498
"SAPPANONE A TRIMETHYL ETHER",6857791
"Saquinavir mesylate",60934
"SARAFLOXACIN HYDROCHLORIDE",56207
"Sarsasapogenin",92095
"SB 200646 hydrochloride",5311422
"SB 202190",5169
"SB 204070 hydrochloride",121881
"SB 204741",3277600
"SB 205384",197690
"SB 206553 hydrochloride",11957707
"SB 216763",176158
"SB 218795",6604858
"SB 222200",6604009
"SB 224289 hydrochloride",11226716
"SB 228357",443390
"SB 242084 dihydrochloride hydrate",16219981
"SB 269970 hydrochloride",11957684
"SB 415286",4210951
"SB-215505",10449757
"SB-366791",667594
"SC 19220",4336830
"SC-560",4306515
"SCH-202676 hydrobromide",11957689
"SCH-28080",108137
"Schisandrin A, R(+)-",NA
"Schisandrin B, S(-)-",NA
"Schisantherin A",151529
"Sclareol",163263
"Sclareolide, (3aR)-(+)-",NA
"SCOPOLAMINE HYDROBROMIDE",6603108
"Scopolamine hydrochloride",6852406
"Scopolamine N-oxide HBr, (-)-",NA
"Scopolamin-N-oxide hydrobromide",6419978
"Scopoletin",5280460
"SCOPOLETIN",5280460
"Scopolomine N-butylbromide",NA
"Scoulerine",439654
"SDZ-205,557 hydrochloride",11957705
"Se-(methyl)selenocysteine hydrochloride",11957622
"SECNIDAZOLE",71815
"Securinine",442872
"SECURININE",442872
"Sedanolide",5018391
"SELAMECTIN",9578507
"Selegiline hydrochloride",26758
"SELEGILINE HYDROCHLORIDE",26758
"Semicarbazide hydrochloride",11236
"SEMUSTINE",5198
"Seneciphylline",5281750
"SENNOSIDE A",73111
"SENNOSIDE B",91440
"Sepiapterin",135398579
"Serotonin hydrochloride",160436
"SEROTONIN HYDROCHLORIDE",160436
"Sertaconazole nitrate",200103
"Sertraline",68617
"Sertraline hydrochloride",63009
"SERTRALINE HYDROCHLORIDE",63009
"S-Ethylisothiourea hydrobromide",200213
"Sevedindione",6419920
"Shikimic Acid",8742
"SHIKIMIC ACID",8742
"Shikonin",479503
"SIB 1757",5218788
"SIB 1893",5311432
"SIBUTRAMINE HYDROCHLORIDE",64764
"SILDENAFIL",135398744
"SILIBININ",31553
"Silybine",31553
"Silymarin",5213
"SIMAZINE",5216
"Simvastatin",54454
"SIMVASTATIN",54454
"SINAPIC ACID METHYL ETHER",735755
"SINENSETIN",145659
"Sinensetine",NA
"Sinomenine",5459308
"SINOMENINE",5459308
"SIROLIMUS",5284616
"S-ISOCORYDINE (+)",10143
"Sisomicin sulfate",439243
"SISOMICIN SULFATE",439243
"SITAGLIPTIN",4369359
"Sitosterol, b -",NA
"SKATOLE",6736
"SKF 75670 hydrobromide",173870
"SKF 83565 hydrobromide",9819203
"SKF 83959 hydrobromide",11957685
"SKF 86466",123981
"SKF 89626",11957695
"SKF 89976A hydrochloride",6917797
"SKF 91488 dihydrochloride",11957708
"SKF 94836",72124
"SKF 95282 dimaleate",11957725
"SKF 96365",11957693
"SKF-525A hydrochloride",65341
"SKF-89145 hydrobromide",12888922
"Skimmianine",6760
"S-Methylisothiourea hemisulfate",13347
"S-Methyl-L-thiocitrulline acetate",11957614
"SMILAGENIN",91439
"SMILAGENIN ACETATE",225766
"SNC80",123924
"S-Nitrosoglutathione",104858
"S-Nitroso-N-acetylpenicillamine",157991
"Sobuzoxane",5233
"SODIUM DEHYDROCHOLATE",23675007
"SODIUM NITROPRUSSIDE",11953895
"Sodium nitroprusside dihydrate",NA
"Sodium Oxamate",5242
"SODIUM SALICYLATE",16760658
"Sodium Taurocholate hydrate",23687511
"SODIUM THIOGLYCOLATE",23690444
"Solanesol",5477212
"SOLANESOL",5477212
"SOLANESYL ACETATE",6857796
"Solanidine",65727
"Solanine alpha",6713954
"Solanine, a -",NA
"Solasodine",442985
"SOLASODINE",442985
"SOLIDAGENONE",189066
"Songorine",71456946
"SORBITOL",5780
"Sotalol hydrochloride",66245
"SP600125",8515
"Spaglumic acid",188803
"SPAGLUMIC ACID",188803
"Spartein sulfate (-)-",NA
"Sparteine (-)",644020
"SPARTEINE SULFATE",23616742
"Spectinomycin dihydrochloride",64740
"SPECTINOMYCIN HYDROCHLORIDE",64740
"Spectinomycin sulfate",64771
"Spermidine trihydrochloride",9539
"SPERMIDINE TRIHYDROCHLORIDE",9539
"SPERMINE",1103
"Spermine tetrahydrochloride",9384
"SPHONDIN",108104
"Spiperone",5265
"SPIPERONE",5265
"Spiperone hydrochloride",11957687
"Spiramycin",6419898
"SPIRAMYCIN",6419898
"Spironolactone",5833
"SPIRONOLACTONE",5833
"Spiroxatrine",5268
"SQ 22536",5270
"SR 2640",128355
"SR 57227A",131746
"SR 59230A oxalate",11957700
"SR-2640",128355
"SR-95531",NA
"SR-95639A",195164
"ST-148",2909914
"Stachydrine HCl",6419956
"Stachydrine hydrochloride",44150282
"Sterigmatocystin",5280389
"STICTIC ACID",73677
"STIGMASTA-4,22-DIEN-3-ONE",6442194
"STIGMASTEROL",5280794
"Streptomycin sulfate",19648
"STREPTOMYCIN SULFATE",19648
"Streptonigrin",5298
"STREPTOZOSIN",29327
"Streptozotocin",29327
"STROBANE",22833294
"Strophanthidin",6185
"STROPHANTHIDIN",6185
"Strophanthidin acetate",261075
"STROPHANTHIDINIC ACID LACTONE ACETATE",5194698
"Strophantine octahydrate",6364534
"STRYCHNINE",441071
"Strychnine HCl",16219987
"STRYCHNINE METHIODIDE",45934200
"SU 4312",6450842
"SU 5416",5329098
"SU 6656",5312137
"SU 9516",5289419
"SUCCINYLACETONE",5312
"Succinylcholine chloride",22475
"Succinylsulfathiazole",5315
"SUCCINYLSULFATHIAZOLE",5315
"SUCRALFATE SODIUM (10% w/v in DMSO)",NA
"SUCRALOSE",71485
"Sulconazole nitrate",65495
"SULCONAZOLE NITRATE",65495
"Sulfabenzamide",5319
"SULFABENZAMIDE",5319
"SULFACETAMIDE",5320
"Sulfacetamide sodic hydrate",6419954
"Sulfachloropyridazine",6634
"SULFACHLORPYRIDAZINE",6634
"Sulfadiazine",5215
"SULFADIAZINE",5215
"Sulfadimethoxine",5323
"SULFADIMETHOXINE",5323
"Sulfadoxine",17134
"Sulfaguanidine",5324
"SULFAGUANIDINE",5324
"Sulfamerazine",5325
"SULFAMERAZINE",5325
"Sulfameter",5326
"SULFAMETER",5326
"SULFAMETHAZINE",5327
"Sulfamethazine sodium salt",13456556
"Sulfamethizole",5328
"SULFAMETHIZOLE",5328
"Sulfamethoxazole",5329
"SULFAMETHOXAZOLE",5329
"Sulfamethoxypyridazine",5330
"SULFAMETHOXYPYRIDAZINE",5330
"Sulfamonomethoxine",5332
"SULFAMONOMETHOXINE",5332
"Sulfanilamide",5333
"SULFANILAMIDE",5333
"SULFANILATE ZINC",64741
"SULFANITRAN",5334
"Sulfaphenazole",5335
"SULFAPHENAZOLE",5335
"Sulfapyridine",5336
"SULFAPYRIDINE",5336
"SULFAQUINOXALINE SODIUM",3693427
"Sulfaquinoxaline sodium salt",3693427
"Sulfasalazine",5339
"SULFASALAZINE",5339
"Sulfathiazole",5340
"SULFATHIAZOLE",5340
"Sulfinpyrazone",5342
"SULFINPYRAZONE",5342
"Sulfisoxazole",5344
"SULFISOXAZOLE",5344
"SULFISOXAZOLE ACETYL",6662
"Sulfuretine",NA
"Sulindac",1548887
"SULINDAC",1548887
"Sulindac sulfone",5472495
"Sulmazole",5353
"Suloctidil",5354
"SULOCTIDIL",5354
"Sulpiride",5355
"SULPIRIDE",5355
"SUMATRIPTAN",5358
"Suprofen",5359
"SUPROFEN METHYL ESTER",3642305
"SURAMIN",5361
"Suramin sodium salt",8514
"Suxibuzone",5362
"SUXIBUZONE",5362
"Swainsonine",51683
"Syringetine-3-O-glucoside",NA
"SYRINGIC ACID",10742
"Syrosingopine",6769
"T-0156",5368
